study;year;no;study_type;latitude;longitude;ecosystem;altitude;sampling_month;genus;species;stage;astaxanthin_or_carotenoids;astaxanthin_on_total_car;asta_form;concentration;unit;daily_pic_moment;seasonal_pic_season;seasonal_pic_month;predator_abundance;comments
Weaver et al.;2016;NA;forcing variables;25;-121;marine;NA;NA;Tigriopus;Tigriopus japonicus;adults;astaxanthin;95;97% free, 3% ester;NA;NA;NA;NA;NA;NA;
Weaver et al.;2018;a;diet effect;32;-117;marine;NA;NA;Tigriopus;Tigriopus californicus ;adults;astaxanthin;99;88% free, 3% monoester, 9% diesters;4.23;ug/mgDW;NA;NA;NA;NA;canthaxanthin as precursor
Weaver et al.;2018;a;diet effect;32;-117;marine;NA;NA;Tigriopus;Tigriopus californicus ;eggs;astaxanthin;NA;NA;10.53;ng.clutch-1;NA;NA;NA;NA;
Weaver et al.;2018;b;redness and fitness;32;-117;marine;NA;NA;Tigriopus;Tigriopus californicus ;adults;NA;NA;NA;1.08;ug/mgDW;NA;NA;NA;NA;careful, carotenoids restored copepods and not wild individuals
Zengling et al.;2010;NA;forcing variables;24;118;marine;NA;april;Acartia;Acartia pacifica;adults;carotenoids;NA;NA;0.99;ug/mgDW;NA;NA;NA;NA;
Inaotombi et al.;2020;NA;forcing variables;30;80;freshwater;2446;april_may_september_october;mixed;Arctodiaptomus spp, Diaptomus spp.;adults;carotenoids;NA;NA;1120;ng.ind-1;NA;spring;april, may;high;
Inaotombi et al.;2020;NA;forcing variables;30;80;freshwater;2446;april_may_september_october;mixed;Arctodiaptomus spp, Diaptomus spp.;adults;carotenoids;NA;NA;710;ng.ind-1;NA;NA;NA;high;
Inaotombi et al.;2020;NA;forcing variables;29;79;freshwater;1936;april_may_september_october;mixed;Cyclops vicinus, Tropocyclops sp., Eucyclops sp.;adults;carotenoids;NA;NA;410;ng.ind-1;NA;NA;NA;high;
Inaotombi et al.;2020;NA;forcing variables;29;79;freshwater;1376;april_may_september_october;mixed;Arctodiaptomus spp, Diaptomus spp.;adults;carotenoids;NA;NA;550;ng.ind-1;NA;NA;NA;high;
Inaotombi et al.;2020;NA;forcing variables;29;79;freshwater;1360;april_may_september_october;Eucyclops;Eucyclops;nauplii;carotenoids;NA;NA;440;ng.ind-1;NA;NA;NA;high;
Inaotombi et al.;2020;NA;forcing variables;29;79;freshwater;1286;april_may_september_october;mixed;Cyclops vicinus, Tropocyclops sp., Eucyclops sp.;adults;carotenoids;NA;NA;450;ng.ind-1;NA;NA;NA;high;
Inaotombi et al.;2020;NA;forcing variables;29;79;freshwater;1219;april_may_september_october;mixed;Cyclops vicinus, Tropocyclops sp., Eucyclops sp.;adults;carotenoids;NA;NA;470;ng.ind-1;NA;NA;NA;high;
Basedow et al.;2019;NA;no_quantification;68;12;marine;NA;april_may;Calanus;Calanus finmarchicus;mixed;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Ohman et al. ;1989;NA;pigment identification/quantification;-45;171;marine;;november ;Neocalanus;Neocalanus tonsus;adults_late_copepodits;carotenoids;dominance;NA;93;ng.ind-1;NA;NA;NA;NA;
Ohman et al. ;1989;NA;pigment identification/quantification;-45;171;marine;;november ;Neocalanus;Neocalanus tonsus;adults_females;carotenoids;dominance;NA;164;ng.ind-1;NA;NA;NA;NA;
Browman et al.;2000;NA;no_quantification;48;-62;marine;NA;july_august;Calanus;Calanus finmarchicus;eggs;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Fasick et al.;2017;NA;no_quantification;41.75;-69.64;marine;NA;may;Calanus;Calanus finmarchicus;adults_late_copepodits;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Jarvis;1988;NA;no_quantification;-46;37;marine;NA;april;Pseudoboeckella;Pseudoboeckella volucris;adults;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Grobois & Rautio;2018;NA;no_quantification;48;-71;freshwater;NA;all_year_long;Leptodiaptomus;Leptopdiaptomus minutus;mixed;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Cui et al.;2021;NA;forcing variables;26.093;0;freshwater;4050;april;Arctodiaptomus;Arctodiaptomus walterianus;nauplii;astaxanthin;dominance;87% ester, 13% free;1.67;ug/mgDW;NA;NA;NA;null;quantities calculated from what is written in the text, no info on figures
Cui et al.;2021;NA;forcing variables;26.093;-102.86;freshwater;4050;april;Arctodiaptomus;Arctodiaptomus walterianus;copepodits;astaxanthin;dominance;NA;2.285;ug/mgDW;NA;NA;NA;null;quantities calculated from what is written in the text, no info on figures
Cui et al.;2021;NA;forcing variables;26.093;-102.86;freshwater;4050;july;Arctodiaptomus;Arctodiaptomus walterianus;adults;astaxanthin;dominance;NA;3.49;ug/mgDW;NA;NA;NA;null;quantities calculated from what is written in the text, no info on figures
Cui et al.;2021;NA;forcing variables;26.093;-102.86;freshwater;4050;october;Arctodiaptomus;Arctodiaptomus walterianus;adults;astaxanthin;dominance;62%ester, 38%free;4.49;ug/mgDW;NA;NA;NA;null;quantities calculated from what is written in the text, no info on figures
Dur et al. ;2021;NA;no_quantification;NA;NA;marine;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Azani & Rasdi;2021;NA ;no_quantification;NA;NA;marine;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Powers et al.;2021;NA;redness and fitness;33.74;-118.38;marine;NA;NA;Tigriopus;Tigriopus californicus ;adults_males;astaxanthin;dominance;NA;0.278;ug/mgDW;NA;NA;NA;NA;only parental lines were kept here to have results close to real conditions, mean astaxanthin concentration per sex and and per sampling zone, computed from supplementary material data
Powers et al.;2021;NA;redness and fitness;32.81;-117.27;marine;NA;NA;Tigriopus;Tigriopus californicus ;adults_females;astaxanthin;dominance;NA;0.171;ug/mgDW;NA;NA;NA;NA;
Powers et al.;2021;NA;redness and fitness;32.81;-117.27;marine;NA;NA;Tigriopus;Tigriopus californicus ;adults_males;astaxanthin;dominance;NA;0.19;ug/mgDW;NA;NA;NA;NA;
Powers et al.;2021;NA;redness and fitness;32.37;-117.06;marine;NA;NA;Tigriopus;Tigriopus californicus ;adults_females;astaxanthin;dominance;NA;0.187;ug/mgDW;NA;NA;NA;NA;
Powers et al.;2021;NA;redness and fitness;32.37;-117.06;marine;NA;NA;Tigriopus;Tigriopus californicus ;adults_males;astaxanthin;dominance;NA;0.363;ug/mgDW;NA;NA;NA;NA;
Powers et al.;2021;NA;redness and fitness;33.32;-118.46;marine;NA;NA;Tigriopus;Tigriopus californicus ;adults_males;astaxanthin;dominance;NA;0.231;ug/mgDW;NA;NA;NA;NA;
Powers et al.;2021;NA;redness and fitness;37.26;-122.42;marine;NA;NA;Tigriopus;Tigriopus californicus ;adults_females;astaxanthin;dominance;NA;0.256;ug/mgDW;NA;NA;NA;NA;
Powers et al.;2021;NA;redness and fitness;37.26;-122.42;marine;NA;NA;Tigriopus;Tigriopus californicus ;adults_males;astaxanthin;dominance;NA;0.368;ug/mgDW;NA;NA;NA;NA;
Powers et al.;2021;NA;redness and fitness;32.7;-117.3;marine;NA;NA;Tigriopus;Tigriopus californicus ;adults_females;astaxanthin;dominance;NA;0.165;ug/mgDW;NA;NA;NA;NA;
Powers et al.;2021;NA;redness and fitness;32.7;-117.3;marine;NA;NA;Tigriopus;Tigriopus californicus ;adults_males;astaxanthin;dominance;NA;0.346;ug/mgDW;NA;NA;NA;NA;
Powers & Hills;2021;NA;redness and fitness;NA;NA ;marine;NA;NA;Tigriopus;Tigriopus californicus ;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;no quantification because only done on next generations that doesn't exists in the wild, really difficult to interpret
Mojib et al.;2014;NA;pigment identification/quantification;22.4575;39.0305;marine;NA;may;Pontella;Pontella sp.;NA;carotenoids;dominance;NA;NA;NA;NA;NA;NA;NA;blue morphs, astaxanthin complex with proteins
Mojib et al.;2014;NA;pigment identification/quantification;22.4575;39.0305;marine;NA;may;Calanus;Calanus sp.;NA;carotenoids;dominance;NA;NA;NA;NA;NA;NA;NA;blue morphs, astaxanthin complex with proteins
Mojib et al.;2014;NA;pigment identification/quantification;22.4575;39.0305;marine;NA;may;Acartia;Acartia fossae;NA;carotenoids;dominance;NA;NA;NA;NA;NA;NA;NA;blue morphs, astaxanthin complex with proteins
Mojib et al.;2014;NA;pigment identification/quantification;22.4575;39.0305;marine;NA;may;Corycaeus;Corycaeus sp.;NA;carotenoids;dominance;NA;NA;NA;NA;NA;NA;NA;blue morphs, astaxanthin complex with proteins
Vestheim et al.;2005;NA;no_quantification;59;10;marine;NA;april;Paraeuchaeta;Pareuchaeta norvegica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;relation between pigmentation and in situ depth explored, but no quantificatio and statistical tests
